property_name,preferred_plus_property,property_stars,property_address,dist_from_center,metro_access,booking_reviews,user_reviews,room_type,bed_type,sus_property_type,property_rating,price_per_night,breakfast_included,free_cancellation_no_prepayment
Hôtel de la Motte Picquet,1,3,"7th arr., Paris",3.2,0,Fabulous ,655,Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 24m²3 beds (2 sofa beds, 1 large double)",1,8.7,274,True,False
Terminus Orléans Paris,1,2,"14th arr., Paris",4.2,1,Very good ,"1,494",Standard Double Room,1 double bed,0,8.2,127,False,False
Hôtel Vernet Champs Elysées Paris,1,5,"8th arr., Paris",4.3,1,Fabulous ,218,Superior Double Room,Multiple bed types,0,8.7,599,False,False
Mercure Paris Montparnasse Raspail,0,4,"14th arr., Paris",2.3,1,Very good ,422,Standard Room with 2 Single Beds,"3 beds (2 singles, 1 large double)",1,8.1,195,False,False
Hotel Inn Design Paris Place d’Italie (ex Timhotel),1,3,"13th arr., Paris",2.8,1,Very good ,"2,431",Double Room,1 double bed,1,8.0,133,False,False
Les Matins de Paris & Spa,1,4,"9th arr., Paris",2.6,1,Very good ,"1,098",Superior Room with Spa access,1 large double bed,1,8.3,285,False,False
ibis Paris Avenue de la Republique,0,3,"11th arr., Paris",1.6,1,Very good ,640,Standard Double Room,1 double bed,1,8.1,161,False,False
Mercure Paris Pigalle Sacre Coeur,0,4,"9th arr., Paris",3.1,1,Very good ,770,Classic Double Room,1 double bed,1,8.2,184,False,False
"Cosy renovated studio in heart of Marais, best area to discover in Paris",0,3,"3rd arr., Paris",1.3,0,Review score ,19,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 15m²1 double bed,0,5.6,65,False,False
Best Western Premier Trocadero La Tour,0,4,"16th arr., Paris",5.3,1,Very good ,512,Classic Double Room,1 double bed,1,8.1,194,False,False
Hotel Design Sorbonne,1,3,"5th arr., Paris",1.2,1,Very good ,506,Design Classic Room,1 double bed,1,8.1,225,False,False
ibis Paris Gare du Nord Château Landon 10ème,0,3,"10th arr., Paris",2.8,1,Good ,"3,440",Standard Double Room,1 large double bed,1,7.5,135,False,False
Auteuil Tour Eiffel,1,4,"16th arr., Paris",5.6,1,Very good ,"1,510",Classic Double Room,1 large double bed,1,8.2,168,False,False
Le Bellune Paris,0,4,"15th arr., Paris",5.5,1,Very good ,40,Double Room,1 large double bed,0,8.2,210,False,False
Manolita Paris,1,5,"18th arr., Paris",3.3,1,Exceptional ,76,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,1,9.6,442,False,False
Eiffel Villa Garibaldi,1,3,"15th arr., Paris",3.5,1,Good ,"1,399",Twin Room,2 single beds,0,7.5,135,False,False
121 Paris Hotel,0,3,"17th arr., Paris",4.3,1,Review score ,526,Double Room,Beds: 1 double or 2 singles,0,6.4,80,False,False
Hotel Korner Eiffel,1,3,"15th arr., Paris",4.7,0,Very good ,910,Double Room,1 double bed,1,8.3,158,False,False
Villa Marquis Member of Meliá Collection,1,5,"8th arr., Paris",3.6,0,Fabulous ,212,Style Room,1 large double bed,1,8.6,440,False,False
Cosy Duplex avec Parking à Paris 19,0,No Rating available,"19th arr., Paris",4.6,0,0,0,Two-Bedroom Apartment,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 60m²3 beds (1 sofa bed, 2 large doubles)",0,0.0,170,False,False
Hotel Trianon Rive Gauche,1,4,"6th arr., Paris",1.2,1,Good ,"2,711",Classic Double Room,1 double bed,1,7.9,254,False,False
Le Patio Bastille,1,3,"11th arr., Paris",3.0,1,Review score ,585,Classic Room,Beds: 1 double or 2 singles,0,6.9,147,False,False
PEPPER & PAPER Apartments,0,4,"5th arr., Paris",1.9,1,Superb ,647,Studio (2 Adults),Entire studio • 1 bathroom • 25m²Beds: 1 double or 2 singles,0,9.1,234,False,False
Home Sweet Home Montmartre Duperre,0,No Rating available,"9th arr., Paris",3.0,0,Review score ,11,One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 15m²1 double bed,1,3.2,75,False,False
Hotel Bowmann,1,5,"8th arr., Paris",3.2,0,Fabulous ,233,Haussmann Executive City or Garden View,1 large double bed,0,8.8,516,False,False
Les Patios du Marais 2,1,3,"3rd arr., Paris",0.9,1,Good ,"1,294",Studio with Double Mezzanine (3 Adults) - E5GD Simply Orange,"Entire studio • 1 bathroom • 25m²2 beds (1 double, 1 sofa bed)",0,7.3,146,False,False
Mercure Paris 19 Philharmonie La Villette,0,4,"19th arr., Paris",4.8,1,Review score ,"1,946",Classic Â Double Room,1 double bed,0,6.9,152,False,False
My Home In Paris,1,4,"11th arr., Paris",1.5,1,Superb ,488,Classic Double Room,1 large double bed,0,9.1,221,False,False
La Clef Louvre Paris by The Crest Collection,1,5,"1st arr., Paris",1.4,1,Very good ,730,Premiere Suite,1 large double bed,1,8.3,511,False,False
Hotel Elysees 8,0,3,"8th arr., Paris",3.1,1,Fabulous ,181,Classic Room,1 large double bed,0,8.6,183,False,False
Hotel Pacific,0,1,"10th arr., Paris",1.8,1,Review score ,326,Large Double Room,1 double bed,0,4.2,82,False,False
Maison Saintonge,1,4,"3rd arr., Paris",1.0,1,Very good ,446,Superior Double Room,1 double bed,0,8.3,176,False,False
Hôtel Noir,0,3,"17th arr., Paris",4.5,0,Very good ,448,Suite with Terrace,Private suite1 large double bed,0,8.2,200,False,False
Hôtel Plaza Athénée - Dorchester Collection,1,5,"8th arr., Paris",3.6,1,Superb ,320,Superior Double or Twin Room,Multiple bed types,1,9.1,1960,False,False
Hôtel De Sers Champs Elysées Paris,1,5,"8th arr., Paris",3.9,1,Very good ,261,Superior Room ,1 extra-large double bed,1,8.2,627,False,False
HOY Paris - Yoga Hotel,1,No Rating available,"9th arr., Paris",2.8,1,Fabulous ,154,LOVING HOY Superior Double Room,1 large double bed,1,8.8,309,False,False
Prince Albert Montmartre,1,3,"18th arr., Paris",4.2,1,Very good ,927,Double Room,Multiple bed types,1,8.1,172,False,False
"Hôtel de Berri Champs-Élysées, a Luxury Collection Hotel",1,5,"8th arr., Paris",3.8,1,Fabulous ,81,Deluxe Queen Room,1 large double bed,1,8.6,658,False,False
Bertha,0,1,"17th arr., Paris",3.5,1,Review score ,509,Double Room with Shared Toilet,1 double bed,0,6.7,82,False,False
